7.422154426574707031e+00,8.096997261047363281e+00,3.908881425857543945e+00
7.422036170959472656e+00,8.089396476745605469e+00,3.905705690383911133e+00
7.422365188598632812e+00,8.081914901733398438e+00,3.902661561965942383e+00
7.423091888427734375e+00,8.074537277221679688e+00,3.899753093719482422e+00
7.423805236816406250e+00,8.067134857177734375e+00,3.896835088729858398e+00
7.424503326416015625e+00,8.059707641601562500e+00,3.893909692764282227e+00
7.425187110900878906e+00,8.052254676818847656e+00,3.890976190567016602e+00
7.425856590270996094e+00,8.044779777526855469e+00,3.888035058975219727e+00
7.426509857177734375e+00,8.037277221679687500e+00,3.885085344314575195e+00
7.427149772644042969e+00,8.029752731323242188e+00,3.882128000259399414e+00
7.427774429321289062e+00,8.022203445434570312e+00,3.879163026809692383e+00
7.428382873535156250e+00,8.014628410339355469e+00,3.876188516616821289e+00
7.428977012634277344e+00,8.007030487060546875e+00,3.873207807540893555e+00
7.429555892944335938e+00,7.999405860900878906e+00,3.870217323303222656e+00
7.430117607116699219e+00,7.991756916046142578e+00,3.867218732833862305e+00
7.430664539337158203e+00,7.984084606170654297e+00,3.864212751388549805e+00
7.431196212768554688e+00,7.976387500762939453e+00,3.861198663711547852e+00
7.431711196899414062e+00,7.968666076660156250e+00,3.858175277709960938e+00
7.432210922241210938e+00,7.960919857025146484e+00,3.855144262313842773e+00
7.432694435119628906e+00,7.953148841857910156e+00,3.852104663848876953e+00
7.433159828186035156e+00,7.945353507995605469e+00,3.849056959152221680e+00
7.433610916137695312e+00,7.937533855438232422e+00,3.846001386642456055e+00
7.434044837951660156e+00,7.929689884185791016e+00,3.842936754226684570e+00
7.434461116790771484e+00,7.921820163726806641e+00,3.839863538742065430e+00
7.434862136840820312e+00,7.913927555084228516e+00,3.836782217025756836e+00
7.435245513916015625e+00,7.906009674072265625e+00,3.833693265914916992e+00
7.435610771179199219e+00,7.898067474365234375e+00,3.830595254898071289e+00
7.435959339141845703e+00,7.890100479125976562e+00,3.827488660812377930e+00
7.436291694641113281e+00,7.882109642028808594e+00,3.824373483657836914e+00
7.436606407165527344e+00,7.874094009399414062e+00,3.821249723434448242e+00
7.436902523040771484e+00,7.866054534912109375e+00,3.818117380142211914e+00
7.437181949615478516e+00,7.857989788055419922e+00,3.814976930618286133e+00
7.437442779541015625e+00,7.849901676177978516e+00,3.811827182769775391e+00
7.437685012817382812e+00,7.841789722442626953e+00,3.808669567108154297e+00
7.437910556793212891e+00,7.833652496337890625e+00,3.805503606796264648e+00
7.439805030822753906e+00,7.825052738189697266e+00,3.801794528961181641e+00
7.441318511962890625e+00,7.816309452056884766e+00,3.798339605331420898e+00
7.442520618438720703e+00,7.807541370391845703e+00,3.795107126235961914e+00
7.443358421325683594e+00,7.798822879791259766e+00,3.792084932327270508e+00
7.443634986877441406e+00,7.790150642395019531e+00,3.789152860641479492e+00
